artistName,id,genres
Mimi Page,1USUeNBNJcg7Of34Ix74lM,downtempo
Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,"orchestral soundtrack, scorecore, soundtrack, video game music"
Mom Jeans.,6PsktPFR0UZptKdSqmlS5h,"alternative emo, diy emo, emo, indie punk, north carolina emo"
Joji,3MZsBdqDrRTJihTHQrO6Dq,"alternative r&b, viral pop"
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"art pop, electropop, pop"
Unknown,1LeVJ5GPeYDOVUjxx1y7Rp,"chillwave, indie rock, indie soul, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop"
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,"emo rap, lgbtq+ hip hop"
Drake,3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,"dark trap, new orleans rap, underground hip hop"
Hashir,3daREed4KlrtvohgJjSkJr,lo-fi chill
Hippie Sabotage,4dM6NDYSfLcspt8GLoT5aE,"edm, electronic trap"
Post Malone,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, rap"
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"eau claire indie, indie folk, melancholia"
Cash Cash,1LOB7jTeEV14pHai6EXSzF,"dance pop, edm, electro house, electropop, electropowerpop, pop, pop dance, pop edm, tropical house"
Lund,5uLkZ7FWMTBUg1corQqdkR,"emo rap, lo-fi chill, pop rap, sad lo-fi, sad rap"
Young Major,5Vt6VN6KxunL3Ic7fkmIA4,
Boise Cover Band,3ARAIhusSiIHlCVDRuaMVT,
Jordaan Mason & The Horse Museum,5EQ6WS0sO77AIhthug6S0U,"canadian indie folk, small room"
Getter,3QryVD03gGZOLQQXjy3EoA,"brostep, dark trap, edm, electro house, electronic trap, filthstep, underground hip hop"
The Adventure Zone,,
ichika,0gnJx3IKBjjTrDpg1xNG52,"japanese guitar, japanese math rock"
av4ln,3E6IjOeXDYo2swzAUYZ5ln,
TTNG,5TUa95aB5Vu2CzwCnZd6t0,"alternative emo, british math rock, dreamo, emo, math rock, midwest emo, oxford indie, progressive post-hardcore"
Tiny Meat Gang,072QZuLtCqlAesYnOGY7lN,"meme rap, social media pop"
kostromin,3JG79Z23wJN9Q5PTPpDAEV,
Coletta,5pRxS1TqblxFku49c4BnLV,"progressive post-hardcore, swancore"
Days N Daze,3wRGr9z5I5xmmVc21fIvC6,"acoustic punk, anti-folk, folk punk, texas punk"
Little Big League,0gqljtE0ZzPxEpjmHeNvTx,"bubblegrunge, indie punk, philly indie"
American Football,5FwydyGVcsQllnM4xM6jw4,"alternative emo, dreamo, emo, indie rock, math rock, midwest emo"
I Hate Sex,1RUYZZ0nOP43qnDtey0cKd,"canadian indie, diy emo, emo, lo-fi indie, midwest emo, sasscore, screamo, skramz"
Touché Amoré,16QCJENzcdhwka9bTKYMVB,"alternative emo, chaotic hardcore, dreamo, emo, melodic hardcore, screamo"
Zen Haircuts,3thvmJi1izcZ1XYOxXWEgs,"aussie emo, midwest emo"
Dear and the Headlights,1aOp1lgpcwRxADf1jHvXhu,"dreamo, indie rock"
Eastghost,4B7EVtenNIwOUxmQ5o5GNv,"future bass, wave"
Devilish Trio,45brkGrBxvV5pxj8eiImiF,"dark trap, phonk, underground hip hop"
Spanish Love Songs,5DaZV3qmFT3aS57df8KPkV,"alternative emo, anthem emo, bubblegrunge, emo, indie punk, la indie, pop punk"
Adam Faucett,7KKfgYWNAbHHNOWmgpdn0M,"arkansas indie, little rock indie"
"Thank You, I'm Sorry",1SQbSVOGU3m2YlQQVV88QU,"5th wave emo, bubblegrunge"
Anamanaguchi,2UwJRAgSOi1zcLkvUNc8XL,"bitpop, chiptune, future bass, indie game soundtrack, nintendocore"
SPIRIT OF THE BEEHIVE,25CgccXK9hJBTuaMF44zeR,"american shoegaze, art pop, bubblegrunge, dream pop, dreamo, freak folk, garage psych, indie garage rock, indie punk, indie rock, lo-fi indie, noise pop, nu gaze"
Tennessee Ernie Ford,7u6FSuqT3SWE2kO8rNVjfp,"bluegrass gospel, country boogie, country gospel, yodeling"
"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,"emo rap, pop rap, sad rap"
Max Richter,2VZNmg4vCnew4Pavo8zDdW,"compositional ambient, post-minimalism"
Duumu,6q8cRPrSLahGAZSVnjIYjF,"edm, electro house, future bass, gaming edm, melodic dubstep, pop edm, vapor twitch"
Major Lazer,738wLrAtLtCtFOLvQBXOXp,"dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house"
GRiZ,25oLRSUjJk4YHNUsQXk7Ut,"edm, electropop, jamtronica, jazztronica, livetronica"
Destroy Boys,7KeN0XX71T4fGysIYLB5J5,"indie pop, oakland indie"
Oliver Davis,3BRizPspINkIYljgzP1x6J,british contemporary classical
Pancho City,4QouBx8sJsj3trsiIBqPMI,
frumhere,21Aa8MX3PsrO03NgH3TZGy,"lo-fi beats, lo-fi chill"
TobyMac,5VX8hxrcfJWwaTLiqGUHG3,"ccm, christian alternative rock, christian hip hop, christian music, worship"
Pancerny,265NJJQRRIgDaIvKoeQDBT,
August Burns Red,5p9CTsn5ueGU4oScNX1axu,"christian metal, christian metalcore, deathcore, melodic metalcore, metalcore, screamo"
Akira The Don,14ep6TM2JzapH5nk7vaora,welsh hip hop
Vindata,1Vxf1UfzcxqzqItoOA0DDT,"future bass, vapor twitch"
Terror Jr,5QatamYwvUTOmMHW6WA0AG,"alt z, electropop, indie electropop, indie poptimism, metropopolis, pop"
AK,0z4gvV4rjIZ9wHck67ucSV,dance pop
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,"baroque, classical, early music, english baroque, german baroque"
guardin,6zqcGQ6MH6yetBUoquMnL7,"dark trap, emo rap, pop rap, sad lo-fi, sad rap"
My Ticket Home,4g3JlT9j18DeWH7gr1uF6L,"metalcore, nu-metalcore, post-screamo, screamo"
Royal Coda,6xG7V5GWf6QWQu1EFL3WJ8,"progressive post-hardcore, sacramento indie"
American Pleasure Club,0HrOhPmbqaxsuRlfJ5SExg,"lo-fi indie, small room"
Modern Color,6bayHl2VHbIseMg1jby37l,"american shoegaze, dreamo, indie punk"
Danger Incorporated,6bnlvICBjK7fuNSB1ohqS5,"dark trap, emo rap, underground hip hop"
Hot Flash Heat Wave,33LSz2nhC8pCPTb3pd5add,"indie garage rock, indie pop, indie surf, surf punk"
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,"dreamo, indie rock, progressive post-hardcore"
Bedroom,7COP1HCvVq1cIpZcLQYoNe,small room
the cabs,5PalnqYJTpnO5wt00jf0um,"japanese emo, japanese math rock"
Loser,1yPW5OZnLR9GlhQfBCMtos,"emo rap, sad rap"
Yameii Online,141ww9EOPLPetF8mMt1gKF,glitchcore
источник,0RNBJmKvby1OTsxA1tobZi,"russian alt pop, russian emo, russian hip hop, russian indie, russian indie rock"
Sleep in.,7k5pDjVawZrHGmRPPR29vO,anthem emo
Driveways,4OuSiJSnuRsK0dTM0dtm1R,"anthem emo, pop punk"
Coma Cinema,4Ebry32YXxGXbI8FqhhSFu,"anti-folk, indie dream pop, indie garage rock, lo-fi indie, north carolina indie"
The Color 8,4rqs8Dn1h2Fhibmvsx9TPF,phoenix indie
Lorn,6vXYoy8ouRVib302zxaxFF,"blackened deathcore, symphonic deathcore"
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"electro, filter house"
Yung Gravy,2YOYua8FpudSEiB9s88IgQ,"meme rap, minnesota hip hop, pop rap"
Flowars,4A5DfoGlyN07pEAXbiEET0,emo rap
William Bonney,470A3vpLSY6yk2AVN4GB9l,"alternative emo, emo, midwest emo, screamo, skramz"
atlas,395RUhnuJcbFdgp6nYZsih,lo-fi rap
BONES,5v2WhpA59TJSdPh7LCx1lN,"dark trap, underground hip hop"
Field Medic,4wMfqR1EZagrSlYndItxGQ,"bubblegrunge, indie pop, lo-fi indie, small room"
Aries,3hOdow4ZPmrby7Q1wfPLEy,"emo rap, pop rap, sad rap"
MASN,4HAfqyKr4Sqtab6ttHWXgE,"emo rap, lo-fi chill, pop rap, sad lo-fi, sad rap"
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,"aesthetic rap, meme rap, phonk, underground hip hop"
Triple One,686zrKch7tQIpoOpdSIpTo,"australian hip hop, australian trap, australian underground hip hop, dark trap, emo rap"
convolk,3ddT1Q3KQAm1G7UcIfz5KJ,"dark trap, emo rap, melodic rap, pop rap, sad lo-fi, sad rap"
Ghostemane,3uL4UpqShC4p2x1dJutoRW,"dark trap, florida rap, underground hip hop"
salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,"indie pop, lo-fi emo, lo-fi indie, slowcore, small room"
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,"dmv rap, hip hop, pop, r&b, rap"
cxltgod,2i62qLXvdikq0heaZFIBZ5,
guccihighwaters,7EIOmfcBRSR63ZaUptkD09,"emo rap, sad lo-fi, sad rap"
Foreign Forest,7C4ztJMkuGRy0qkU6dG5hU,"emo rap, sad lo-fi, sad rap"
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
Dead Robot,5Xgb8LDaSdo3vsDqJ7eBJv,
Tiny Moving Parts,5rJVTTK0ucAxQhkUc0nXbH,"alternative emo, anthem emo, dreamo, emo, midwest emo"
Kaito Shoma,3Tv1UzQAvn0v0hKTxisXnR,drift phonk
IC3PEAK,3luonLzvSOxdU8ytCaEIK8,"russian witch house, witch house"
Ripe,19lQ2rJLlP71FOKESiMNJT,boston indie
SpaceMan Zack,53dPePMlci6GqJXISlntSK,"dark trap, emo rap, sad lo-fi, sad rap"
Mickey Darling,3uwUtL5kPSO2mpOhU4SiWz,"indie pop, modern indie pop"
CHYLD,7CCDzcz8u2Cs5c8Az35Gud,boston indie
Beartooth,6vwjIs0tbIiseJMR3pqwiL,"metalcore, post-screamo"
Foxing,2dfxY7YDuYCUtWFzWTS6IR,"alternative emo, bubblegrunge, dreamo, emo, indie rock, stl indie"
Aqua,6kBjAFKyd0he7LiA5GQ3Gz,"bubblegum dance, dance pop, eurodance, europop"
Oshwa,2REf2RGo1EFSUFaRQf8oX2,
Looming,6k5ce5QSZYc12PC2UnN8Wc,
Sleep Token,2n2RSaZqBuUUukhbLlpnE6,prog metal
Route 94,1dgdvbogmctybPrGEcnYf6,"deep groove house, house, pop dance, uk dance"
Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb,"alternative dance, art pop, chillwave, dream pop, electropop, indie rock, indietronica, metropopolis, new rave, shimmer pop"
M83,63MQldklfxkjYDoUE4Tppz,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Panama,3W9UldYu0xJcaOAw2SUTDI,"australian indie, indie poptimism, shimmer pop"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"art pop, pop"
Dan Croll,5Rr15NSbi1Xjno1AEP9u21,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock"
Incubus,3YcBF2ttyueytpXtEzn1Za,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, post-grunge, rock"
La Dispute,7lQKE6HaKQcCsgLRMhsh5W,"alternative emo, dreamo, emo, grand rapids indie, progressive post-hardcore"
Darsena,1BeDagLSzc3lMXJm0NSKNV,lo-fi jazzhop
Liphe,371UxxrkcjjvlQUJxDKjfq,lo-fi jazzhop
Hulk Hodn,3rCwiAT9oVk1TRcY8A5x9r,"abstract beats, jazz boom bap"
Living Room,0sLb0ouettR8lDLnEgCSVK,lo-fi jazzhop
Saiko,1ux1cA3N0QiscFolXpfbni,lo-fi jazzhop
DYVN,0txJ9PYLXPk2Ojegw5Ty9X,"focus beats, lo-fi jazzhop"
Khutko,26e6xlrurIqVfo2GzwuSMQ,lo-fi jazzhop
Rigby,11uVEq37dsx0ZCbwxpu9S3,
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,"electropop, indie pop, metropopolis, neo-synthpop, pop rock, shimmer pop"
Into It. Over It.,1ecdmsD235x2zHCKfdL3cF,"alternative emo, anthem emo, bubblegrunge, chicago indie, dreamo, emo, indie punk, indie rock, midwest emo"
Lil Wayne,55Aa2cqylxrFIXC767Z865,"hip hop, new orleans rap, pop rap, rap, trap"
Sonic Sea Turtles,4tWqYfarCaAlRGxVjKygcz,
Lil Darkie,62F9BiUmjqeXbBztCwiX1U,"glitchcore, meme rap, viral rap"
Alan Gogoll,7MOxmVjcx5HWoEu9pBWXT3,tassie indie
